"Category","CategoryOfSequences_es","FXY1","Title_es","SubTitle_es","FXY2","ElementName_es","ElementDescription_es","Note_es","noteIDs","Status"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002033","Método de medición de la salinidad/profundidad","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002032","Indicador de digitalización","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","022056","Dirección del perfil","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","003011","Método de cálculo de la profundidad","","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","306035","Perfil de temperatura y salinidad","","","","Operational"
"99cat","seqTitle","1","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","Datos de perfil de la corriente","107000","Repetición diferida de 7 descriptores","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","031000","Factor de repetición ligeramente diferida del descriptor","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002032","Indicador de digitalización","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","003010","Método de medición de la corriente de mar/agua","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002031","Duración y hora de medición de la corriente","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002040","Método para eliminar los efectos de la velocidad y del movimiento de la plataforma en la medición de la corriente","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","022056","Dirección del perfil","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","003011","Método de cálculo de la profundidad","","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","306036","Perfil de la corriente","","","","Operational"
"99cat","seqTitle","1","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","Datos de perfil del oxígeno disuelto","104000","Repetición diferida de 4 descriptores","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","031000","Factor de repetición ligeramente diferida del descriptor","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002032","Indicador de digitalización","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","003012","Tipo de instrumento/sensor para la medición del oxígeno disuelto","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","003011","Método de cálculo de la profundidad","","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","306037","Datos de perfil del oxígeno disuelto","","","","Operational"
"99cat","seqTitle","315 008","(Secuencia para la representación de datos desde boyas fijas)","Identificación y ubicación de boyas","301126","Secuencia para la representación de identificación de boyas fijas","","","","Operational"
"99cat","seqTitle","1","(Secuencia para la representación de datos desde boyas fijas)","Datos meteorológicos complementarios opcionales","101000","Repetición diferida de 1 descriptor","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos desde boyas fijas)","","031000","Factor de repetición ligeramente diferida del descriptor","","","","Operational"
